Date,SuperFamily,Familia,Codigo Producto,Projection,Sales
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010728,,79
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010732,,21
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010735,,123
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010740,,85
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010769,,97
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010772,,85
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010807,,84
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010811,,211
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010829,,92
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010831,,127
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010875,,93
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010880,,101
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010882,,106
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010888,,151
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010900,,28
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1011102,,297
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1011302,,176
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1011777,,5
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1011788,,5
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1011799,,5
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1012302,,92
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1012903,,125
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1013102,,99
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1013202,,77
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1013602,,240
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1013902,,105
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1013916,,112
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1013917,,105
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1014850,,74
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1015029,,37
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1015032,,87
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1015033,,6
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1015102,,74
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1015204,,123
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1015302,,80
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1015502,,89
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1016202,,75
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1016402,,84
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1016702,,138
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1016890,,56
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1016902,,66
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1017007,,81
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1017402,,88
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1017802,,100
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1017902,,69
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1018003,,82
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1018902,,315
2022-01-01,Invierno,Vizon Anatolia,5605IMD180837,,47
