Month,Familia,Product_Code,Forecast_Product,SuperFamily
2025-01,Nako Melange,5614IM0D10092,27.001469212833022,Invierno
2025-01,Nako Melange,5614IM0D10093,23.20094292852763,Invierno
2025-01,Nako Melange,5614IM0D10094,6.069819090886232,Invierno
2025-01,Nako Melange,5614IM0D10095,14.14893281568802,Invierno
2025-01,Nako Melange,5614IM0D10096,12.79742157713301,Invierno
2025-01,Nako Melange,5614IM0D10097,11.273376988975237,Invierno
2025-01,Nako Melange,5614IM0D10098,10.958263996297962,Invierno
2025-01,Nako Melange,5614IM0D10099,8.75606749234042,Invierno
2025-01,Sport Ukryl,5256IM0K10210,21.80150575952741,Invierno
2025-01,Sport Ukryl,5256IM0K10290,32.85322532019354,Invierno
2025-01,Sport Ukryl,5256IM0K10386,10.73301212320546,Invierno
2025-01,Sport Ukryl,5256IM0K10432,8.950167510643535,Invierno
2025-01,Sport Ukryl,5256IM0K10465,7.919760006071455,Invierno
2025-01,Sport Ukryl,5256IM0K10575,14.881001403238647,Invierno
2025-01,Sport Ukryl,5256IM0K10586,13.191612355044889,Invierno
2025-01,Sport Ukryl,5256IM0K10590,10.44785283705644,Invierno
2025-01,Sport Ukryl,5256IM0K10617,8.686574893194864,Invierno
2025-01,Sport Ukryl,5256IM0K10664,11.190704758957244,Invierno
2025-01,Sport Ukryl,5256IM0K10685,8.446945240968798,Invierno
2025-01,Sport Ukryl,5256IM0K10690,11.562130719907644,Invierno
2025-01,Sport Ukryl,5256IM0K10752,12.233093746140629,Invierno
2025-01,Sport Ukryl,5256IM0K10795,13.141290128077417,Invierno
2025-01,Sport Ukryl,5256IM0K10800,16.091131146980278,Invierno
2025-01,Sport Ukryl,5256IM0K10843,14.689297681457797,Invierno
2025-01,Sport Ukryl,5256IM0K11302,18.739038804078294,Invierno
2025-01,Sport Ukryl,5256IM0K12903,11.10084363937247,Invierno
2025-01,Sport Ukryl,5256IM0K13916,3.0301169523985947,Invierno
2025-01,Super Economico 100 gr,1150AN0T10033,66.02036548480322,Invierno
2025-01,Super Economico 100 gr,1150AN0T10041,50.54508254404393,Invierno
2025-01,Super Economico 100 gr,1150AN0T10425,59.516816723387805,Invierno
