Product_Code,Stock,Month,Familia,Forecast_Product,SuperFamily,Total_Projection,Stock_After_Consumption,Fecha
5527IM6010209,3.6,2025-06,Cotton Premium,19.88122690022685,Verano,19.88122690022685,-16.281226900226848,2025-01-01
5527IM6010209,3.6,2025-07,Cotton Premium,30.54338211110777,Verano,30.54338211110777,-26.94338211110777,2025-01-01
5527IM6010209,3.6,2025-08,Cotton Premium,52.32462966625664,Verano,52.32462966625664,-48.72462966625664,2025-01-01
5527IM6010209,3.6,2025-09,Cotton Premium,60.75951475795208,Verano,60.75951475795208,-57.15951475795208,2025-01-01
5527IM6010209,3.6,2025-10,Cotton Premium,73.97256551835697,Verano,73.97256551835697,-70.37256551835698,2025-01-01
5527IM6010209,3.6,2025-11,Cotton Premium,57.86500740567478,Verano,57.86500740567478,-54.26500740567478,2025-01-01
5527IM6010209,3.6,2025-12,Cotton Premium,41.15924654540736,Verano,41.15924654540736,-37.55924654540736,2025-01-01
5527IM6010216,205.9,2025-01,Cotton Premium,15.442104872299318,Verano,15.442104872299318,190.45789512770068,2025-01-01
5527IM6010216,205.9,2025-02,Cotton Premium,11.370411932889471,Verano,11.370411932889471,194.52958806711052,2025-01-01
5527IM6010216,205.9,2025-03,Cotton Premium,13.154811937326793,Verano,13.154811937326793,192.7451880626732,2025-01-01
5527IM6010216,205.9,2025-04,Cotton Premium,11.665575440705982,Verano,11.665575440705982,194.234424559294,2025-01-01
5527IM6010216,205.9,2025-05,Cotton Premium,12.173211532772132,Verano,12.173211532772132,193.72678846722786,2025-01-01
5527IM6010216,205.9,2025-06,Cotton Premium,9.658528187944777,Verano,9.658528187944777,196.24147181205524,2025-01-01
5527IM6010216,205.9,2025-07,Cotton Premium,14.83832554981487,Verano,14.83832554981487,191.06167445018514,2025-01-01
5527IM6010216,205.9,2025-08,Cotton Premium,25.41990557683062,Verano,25.41990557683062,180.4800944231694,2025-01-01
5527IM6010216,205.9,2025-09,Cotton Premium,29.51766955432871,Verano,29.51766955432871,176.3823304456713,2025-01-01
5527IM6010216,205.9,2025-10,Cotton Premium,35.93672124860114,Verano,35.93672124860114,169.96327875139886,2025-01-01
5527IM6010216,205.9,2025-11,Cotton Premium,28.11148466481041,Verano,28.11148466481041,177.7885153351896,2025-01-01
5527IM6010216,205.9,2025-12,Cotton Premium,19.995634321182152,Verano,19.995634321182152,185.90436567881784,2025-01-01
5527IM6010229,113.5,2025-01,Cotton Premium,51.62449027052266,Verano,51.62449027052266,61.87550972947734,2025-01-01
5527IM6010229,113.5,2025-02,Cotton Premium,38.012416380765366,Verano,38.012416380765366,75.48758361923464,2025-01-01
5527IM6010229,113.5,2025-03,Cotton Premium,43.97784281903814,Verano,43.97784281903814,69.52215718096187,2025-01-01
5527IM6010229,113.5,2025-04,Cotton Premium,38.999177302511264,Verano,38.999177302511264,74.50082269748873,2025-01-01
