Product_Code,Stock
1105CO1017007,0.0
1105CO1017402,0.0
1105CO1017802,0.0
1105CO1017902,0.0
1105CO1018003,0.0
1105CO1018902,0.0
1105CO1019102,0.0
1105CO1019202,0.0
1105CO1019300,0.0
1105CO1019502,0.0
1105CO1019602,0.0
1106AN1010004,125.4
1106AN1010005,0.0
1106AN1010007,114.7
1106AN1010008,0.0
1106AN1010009,0.0
1106AN1010016,118.4
1106AN1010021,189.8
1106AN1010022,0.0
1106AN1010024,189.8
1106AN1010025,0.0
1106AN1010027,135.0
1106AN1010029,95.8
1106AN1010031,4.3
1106AN1010041,103.7
1106AN1010062,4.9
1106AN1010064,11.5
1106AN1010065,161.4
1106AN1010075,0.0
1106AN1010076,0.0
1106AN1010077,109.4
1106AN1010078,0.0
1106AN1010079,0.0
1106AN1010080,0.0
1106AN1010081,0.0
1106AN1010082,92.8
1106AN1010083,0.0
1106AN1010085,25.0
1106AN1010086,0.0
1106AN1010087,0.0
1106AN1010088,0.0
1106AN1010090,0.0
1106AN1010093,0.0
1106AN1010096,0.0
1106AN1010098,0.0
1106AN1010103,82.2
1106AN1010112,0.0
1106AN1010114,0.0
1106AN1010118,0.0
1106AN1010125,132.1
1106AN1010181,0.0
1106AN1010182,0.0
1107PA1010002,0.0
1107PA1010004,0.0
1107PA1010007,0.0
1107PA1010008,0.0
1107PA1010010,0.0
1107PA1010016,0.0
1107PA1010021,0.0
1107PA1010022,0.0
1107PA1010024,0.0
1107PA1010025,0.0
1107PA1010027,0.0
1107PA1010029,0.0
1107PA1010030,0.0
1107PA1010031,0.0
1107PA1010038,0.0
1107PA1010040,0.0
1107PA1010041,0.0
1107PA1010050,0.0
1107PA1010053,0.0
1107PA1010055,0.0
1107PA1010058,0.0
1107PA1010062,0.0
1107PA1010064,0.0
1107PA1010065,0.0
1107PA1010075,0.0
1107PA1010077,0.0
1107PA1010079,0.0
1107PA1010080,0.0
1107PA1010081,0.0
1107PA1010082,0.0
1107PA1010090,0.0
1107PA1010091,0.0
1107PA1010093,0.0
1107PA1010096,0.0
1107PA1010098,0.0
1107PA1010099,0.0
1107PA1010101,0.0
1107PA1010103,0.0
1107PA1010112,0.0
1107PA1010125,0.0
1107PA1010181,0.0
1107PA1010182,0.0
1107PA1010410,0.0
1107PA101DDDD,0.0
1108NA1010001,0.0
1108NA1010004,0.0
1108NA1010005,0.0
1108NA1010006,0.0
1108NA1010007,0.0
1108NA1010008,0.0
1108NA1010009,0.0
1108NA1010016,0.0
1108NA1010021,0.0
1108NA1010024,0.0
1108NA1010034,0.0
1108NA1010036,0.0
1108NA1010041,0.0
1108NA1010062,0.0
1108NA1010064,0.0
1108NA1010065,0.0
1108NA1010075,0.0
1108NA1010076,0.0
1108NA1010078,0.0
1108NA1010079,0.0
1108NA1010080,0.0
1108NA1010081,0.0
1108NA1010082,0.0
1108NA1010083,0.0
1108NA1010085,0.0
1108NA1010086,0.0
1108NA1010087,0.0
1108NA1010088,0.0
1108NA1010090,0.0
1108NA1010098,0.0
1108NA1010103,0.0
1108NA1010112,0.0
1109CO1010004,0.0
1109CO1010005,0.0
1109CO1010007,0.0
1109CO1010016,0.0
1109CO1010021,0.0
1109CO1010024,0.0
1109CO1010041,0.0
1109CO1010062,0.0
1109CO1010064,0.0
1109CO1010065,0.0
1109CO1010075,0.0
1109CO1010078,0.0
1109CO1010079,0.0
1109CO1010080,0.0
1109CO1010081,0.0
1109CO1010082,0.0
1109CO1010083,0.0
1109CO1010085,0.0
1109CO1010086,0.0
1109CO1010087,0.0
1109CO1010088,0.0
1109CO1010098,0.0
1109CO1010103,0.0
1109CO1010112,0.0
1110AN1010005,0.0
1110AN1010712,0.0
1110AN1010718,0.0
1110AN1010875,0.0
1110AN1011302,0.0
1110AN1012903,0.0
1110AN1013910,0.0
1110AN1015204,0.0
1110AN1017802,0.0
1110AN1018902,0.0
1111AN1010012,0.0
1111AN1010075,0.0
1111AN1010302,0.0
1111AN1010502,0.0
1111AN1010902,0.0
1111AN1010910,0.0
1112AN101MULT,25.93
1119AN1050472,15.05
1119AN1050475,10.25
1119AN1050477,0.8
1119AN1050478,4.65
1119AN1050481,1.1
1119AN1050482,26.6
1119AN1050487,42.15
1119AN1050488,43.25
1119AN1050489,0.0
1120NA1050003,0.0
1120NA1050029,0.0
1120NA1050034,0.0
1120NA1050038,0.0
1120NA1050073,0.0
1120NA1050279,0.0
1120NA1050425,0.0
1120NA1050439,0.0
1120NA1050539,0.0
1120NA1050701,0.0
1120NA1050702,0.0
1120NA1050703,0.0
1120NA1050707,0.0
1120NA1050710,0.0
1120NA1050712,0.0
1120NA1050715,0.0
1120NA1050716,0.0
1120NA1050718,0.0
1120NA1050721,0.0
1120NA1050722,0.0
1120NA1050723,0.0
1120NA1050724,0.0
1120NA1050725,0.0
1120NA1050726,0.0
1120NA1050727,0.0
1120NA1050728,0.0
1120NA1050729,0.0
1120NA1050730,0.0
1120NA1050731,0.0
1120NA1050732,0.0
1120NA1050733,0.0
1120NA1050734,0.0
1120NA1050735,0.0
1120NA1050740,0.0
1120NA1050745,0.0
1120NA1050747,0.0
1120NA1050749,0.0
1120NA1050757,0.0
1120NA1050764,0.0
1120NA1050765,0.0
1120NA1050769,0.0
1120NA1050772,0.0
1120NA1050799,0.0
1120NA1050807,0.0
1120NA1050824,0.0
1120NA1050829,0.0
1120NA1050845,0.0
1120NA1050846,0.0
1120NA1050849,0.0
1120NA1050880,0.0
1120NA1050882,0.0
1120NA1050883,0.0
1120NA1050902,0.0
1120NA1051100,0.0
1120NA1051302,0.0
1120NA1053102,0.0
1120NA1053916,0.0
1120NA1053917,0.0
1120NA1054015,0.0
1120NA1054221,0.0
1120NA1054253,0.0
1120NA1054850,0.0
1120NA1055029,0.0
1120NA1055032,0.0
1120NA1055033,0.0
1120NA1055102,0.0
1120NA1055113,0.0
1120NA1055204,0.0
1120NA1055302,0.0
1120NA1055303,0.0
1120NA1056202,0.0
1120NA1056502,0.0
1120NA1056890,0.0
1120NA1056902,0.0
1120NA1057000,0.0
1120NA1057902,0.0
1120NA1058003,0.0
1121PA1050029,0.0
1121PA1050034,0.0
1121PA1050073,0.0
1121PA1050425,0.0
1121PA1050439,0.0
1121PA1050712,0.0
1121PA1050723,0.0
1121PA1050726,0.0
1121PA1050727,0.0
1121PA1050730,0.0
1121PA1050731,0.0
1121PA1050732,0.0
1121PA1050740,0.0
1121PA1050749,0.0
1121PA1050769,0.0
1121PA1050807,0.0
1121PA1050811,0.0
1121PA1051100,0.0
1121PA1051102,0.0
1121PA1051302,0.0
1121PA1053602,0.0
1121PA1053916,0.0
1121PA1053917,0.0
1121PA1053937,0.0
1121PA1055033,0.0
1121PA1055302,0.0
1121PA1056702,0.0
1121PA1056890,0.0
1121PA1058003,0.0
1121PA1058902,0.0
1122PA1010073,0.0
1122PA1010712,0.0
1122PA1010726,0.0
1122PA1010728,0.0
1122PA1010740,0.0
1122PA1010769,0.0
1122PA1010807,0.0
1122PA1010811,0.0
1122PA1010824,0.0
1122PA1010875,0.0
1122PA1010882,0.0
1122PA1010883,0.0
