Month,Familia,Product_Code,Forecast_Product
2025-05,Super Nene,1140NA1010034,63.35219480986146
2025-05,Super Nene,1140NA1010073,88.41949145549084
2025-05,Super Nene,1140NA1010439,44.24682752751706
2025-05,Super Nene,1140NA1010730,88.20524105681025
2025-05,Super Nene,1140NA1010731,52.69323747550197
2025-05,Super Nene,1140NA1010732,43.63703793127229
2025-05,Super Nene,1140NA1010734,58.36881294055037
2025-05,Super Nene,1140NA1010829,59.97775103064213
2025-05,Super Nene,1140NA1011102,267.9324841500052
2025-05,Super Nene,1140NA1011302,61.42394122173613
2025-05,Super Nene,1140NA1013303,4.903037969805876
2025-05,Super Nene,1140NA1013952,62.5281548149361
2025-05,Super Nene,1140NA1016902,4.655825971328269
2025-05,Super Nene,1140NA1018902,89.65967164785349
2025-06,Baby Jakard,5602IMD181306,13.356294267325328
2025-06,Baby Jakard,5602IMD181307,12.122013414979003
2025-06,Baby Jakard,5602IMD181309,8.86800025879324
2025-06,Baby Jakard,5602IMD181310,11.796250140166189
2025-06,Baby Jakard,5602IMD181311,10.710372557456813
2025-06,Baby Jakard,5602IMD181315,15.455657593896786
2025-06,Baby Jakard,5602IMD181316,16.034792304675122
2025-06,Baby Jakard,5602IMD181317,14.32272531593667
2025-06,Baby Jakard,5602IMD181318,11.470486865353376
2025-06,Baby Jakard,5602IMD181319,14.684684510173131
2025-06,Baby Soft,1148AN1010003,103.6723524132065
2025-06,Baby Soft,1148AN1010014,59.69792990541914
2025-06,Baby Soft,1148AN1010024,45.26299723926916
2025-06,Baby Soft,1148AN1010026,102.76745442761535
2025-06,Baby Soft,1148AN1010034,74.03513358912527
2025-06,Baby Soft,1148AN1010039,75.85940792807702
2025-06,Baby Soft,1148AN1010041,65.77522477664928
2025-06,Baby Soft,1148AN1010050,45.4331180605603
2025-06,Baby Soft,1148AN1010081,93.58093007789404
2025-06,Baby Soft,1148AN1010229,86.73628171488261
2025-06,Baby Soft,1148AN1010439,58.58309558717084
2025-06,Baby Soft,1148AN1010730,67.11809338726653
2025-06,Baby Soft,1148AN1010734,82.38553220016037
2025-06,Baby Soft,1148AN1010812,52.473224388459414
2025-06,Baby Soft,1148AN1010831,50.656189233392396
2025-06,Baby Soft,1148AN1010875,68.2256885216301
2025-06,Baby Soft,1148AN1010888,90.20385079566788
2025-06,Baby Soft,1148AN1011102,283.8085846088649
2025-06,Baby Soft,1148AN1011302,137.2513068625228
