Ovillo_Code,Cono_Stock,Ovillo_Stock,Stock_total
1308ANV012502,0.0,0.0,0.0
1308ANV012903,0.0,0.0,0.0
1308ANV013308,0.0,0.0,0.0
1308ANV013401,0.0,77.5,77.5
1308ANV013602,167.1,217.0,384.1
1308ANV014015,0.0,0.0,0.0
1308ANV014204,0.0,0.0,0.0
1308ANV014850,0.0,104.5,104.5
1308ANV015032,0.0,0.0,0.0
1308ANV015102,0.0,0.0,0.0
1308ANV016202,0.0,0.0,0.0
1308ANV016210,197.1,61.5,258.6
1308ANV016211,0.0,0.0,0.0
1308ANV016212,248.3,157.7,406.0
1308ANV016213,0.0,180.3,180.3
1308ANV016214,0.0,0.0,0.0
