Date,Año,Mes,RUPR,Familia,Super Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek,Sales_LastMonth,Sales_LastYear
2022-03-01,2022,3,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 2.0mm Negro 0370-1200  ,CORELAR320NGO,UN,29.0,2022,3,1,1,8.0,
2022-03-01,2022,3,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 2.0mm Blanco 0370-1200 ,CORELAR320BCO,UN,37.0,2022,3,1,1,5.0,
2022-03-01,2022,3,R30,Cordón Metálico Sin Elástico,ELASTICOS & VELCRO,Cordon Metal.S/Elast.1.0mm 100M 1UN 0371-1016 Gold,CORMET10MMSIN,UN,20.0,2022,3,1,1,53.0,
2022-03-01,2022,3,R30,Cordón Metálico Sin Elástico,ELASTICOS & VELCRO,Cordon MetalicoS/Elastico 0.5mm 100M 1UN 0371-1012,CORMET05MMSIN,UN,1.0,2022,3,1,1,,
2022-03-01,2022,3,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 3.0mm Negro 0370-1300  ,CORELAR330NGO,UN,1.0,2022,3,1,1,17.0,
2022-03-01,2022,3,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 3.0mm Blanco 0370-1300 ,CORELAR330BCO,UN,41.0,2022,3,1,1,8.0,
2022-03-01,2022,3,R30,Velcro Autoadhesivo Rollo,ELASTICOS & VELCRO,Velcro Autoadhesivo Rollo 25M Ancho 20mm c001     ,VELCROAA20001,UN,122.0,2022,3,1,1,29.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 50 mm c002 ,VELCROR150002,UN,60.0,2022,3,1,1,22.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 25 mm c004           ,VELCROR125004,UN,6.0,2022,3,1,1,2.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 50 mm c001 ,VELCROR150001,UN,47.0,2022,3,1,1,19.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 100 mm c002          ,VELCROR195002,UN,3.0,2022,3,1,1,14.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 100 mm c001          ,VELCROR195001,UN,5.0,2022,3,1,1,2.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 20 mm c001 ,VELCROR120001,UN,124.0,2022,3,1,1,26.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 20 mm c002 ,VELCROR120002,UN,53.0,2022,3,1,1,34.0,
2022-03-01,2022,3,R30,Velcro Autoadhesivo Rollo,ELASTICOS & VELCRO,Velcro Autoadhesivo Rollo 25M Ancho 20mm c002     ,VELCROAA20002,UN,70.0,2022,3,1,1,22.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 25 mm c002 ,VELCROR125002,UN,65.0,2022,3,1,1,30.0,
2022-03-01,2022,3,R30,Velcro Rollo,ELASTICOS & VELCRO,Velcro Rollo 25 Metros Ancho 25 mm c001 ,VELCROR125001,UN,105.0,2022,3,1,1,34.0,
2022-04-01,2022,4,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 3.0mm Blanco 0370-1300 ,CORELAR330BCO,UN,14.0,2022,4,2,4,21.0,
2022-04-01,2022,4,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 2.0mm Blanco 0370-1200 ,CORELAR320BCO,UN,9.0,2022,4,2,4,17.0,
2022-04-01,2022,4,R30,Cordón Elastico Rollo,ELASTICOS & VELCRO,Cordon Elastico Rollo 100M 2.0mm Negro 0370-1200  ,CORELAR320NGO,UN,16.0,2022,4,2,4,31.0,
2022-04-01,2022,4,R30,Elástico Plano Rollo,ELASTICOS & VELCRO,Elastico Plano Rollo 100 Metros 12mm c001         ,ELAPLAR312001,UN,16.0,2022,4,2,4,21.0,
2022-04-01,2022,4,R30,Elástico 10 piezas,ELASTICOS & VELCRO,Elastico 10 piezas de 10mts 16mm Blanco 6121-0068 ,ELASTI10M16BC,UN,3.0,2022,4,2,4,4.0,
2022-04-01,2022,4,R30,Elástico Plano Rollo,ELASTICOS & VELCRO,Elastico Plano Rollo 100 Metros 12mm c002         ,ELAPLAR312002,UN,2.0,2022,4,2,4,15.0,
2022-04-01,2022,4,R30,Elástico Plano Rollo,ELASTICOS & VELCRO,Elastico Plano Rollo 100 Mts 16mm c001            ,ELAPLAR516001,UN,10.0,2022,4,2,4,14.0,
2022-04-01,2022,4,R30,Elástico 10 piezas,ELASTICOS & VELCRO,Elastico 10 piezas de 10mts 12mm Negro 0140-0125  ,ELASTI10M12NG,UN,6.0,2022,4,2,4,9.0,
